SFIN,Segregated Fund Name,NAV Date,NAV Per Unit,Company Name,Date,Sr.no.
ULIF00802/01/04LiquidFund101,Liquid Fund,03-09-2024,75.9579,HDFC Life Insurance Company Limited,03-Sep-24,66
ULIF00720/06/07StableMgFd101,Stable Managed Fund,03-09-2024,79.5259,HDFC Life Insurance Company Limited,03-Sep-24,67
ULIF00705/02/08PENDEBT101,Pension Debt Fund,03-09-2024,37.3410,HDFC Life Insurance Company Limited,03-Sep-24,68
ULIF00616/01/06EquityMgFd101,Equity Managed Fund,03-09-2024,361.5445,HDFC Life Insurance Company Limited,03-Sep-24,69
ULIF00514/10/05EQUITY101,Individual Equity Fund,03-09-2024,70.7083,HDFC Life Insurance Company Limited,03-Sep-24,70
ULIF00502/01/04GrowthFund101,Growth Fund,03-09-2024,444.2379,HDFC Life Insurance Company Limited,03-Sep-24,71
ULIF00418/10/04SECURE101,Individual Secure Fund,03-09-2024,51.6855,HDFC Life Insurance Company Limited,03-Sep-24,72
ULIF00402/01/04BalancedMF101,Balanced Managed Fund,03-09-2024,207.4297,HDFC Life Insurance Company Limited,03-Sep-24,73
ULIF00318/10/04GROWTH101,Individual Growth Fund,03-09-2024,71.2679,HDFC Life Insurance Company Limited,03-Sep-24,74
ULIF00302/01/04DefensiveF101,Defensive Managed Fund,03-09-2024,137.3965,HDFC Life Insurance Company Limited,03-Sep-24,75
ULIF00218/10/04DEBT101,Individual Debt Fund,03-09-2024,44.5958,HDFC Life Insurance Company Limited,03-Sep-24,76
ULIF00202/01/04SecureMgtF101,Secure Managed Fund,03-09-2024,86.7472,HDFC Life Insurance Company Limited,03-Sep-24,77
ULIF00118/10/04BALANCE101,Individual Balanced Fund,03-09-2024,58.0501,HDFC Life Insurance Company Limited,03-Sep-24,78
ULIF00102/01/04LiquidFund101,Liquid Fund,03-09-2024,75.3189,HDFC Life Insurance Company Limited,03-Sep-24,79
ULGF05227/02/23CGHybdFund101,Capital Guarantee Debt Plus Fund Pension,03-09-2024,10,HDFC Life Insurance Company Limited,03-Sep-24,80
ULGF05127/02/23CGDebtFund101,Capital Guarantee Debt Fund Pension,03-09-2024,10,HDFC Life Insurance Company Limited,03-Sep-24,81
ULGF05027/02/23CGHybdFund101,Capital Guarantee Debt Plus Fund Life,03-09-2024,10.1136,HDFC Life Insurance Company Limited,03-Sep-24,82
ULGF04927/02/23CGDebtFund101,Capital Guarantee Debt Fund Life,03-09-2024,10.3752,HDFC Life Insurance Company Limited,03-Sep-24,83
ULGF04811/02/12StableMFII101,Stable Managed Fund II,03-09-2024,26.9881,HDFC Life Insurance Company Limited,03-Sep-24,84
ULGF04611/02/12BalncdMFII101,Balanced Managed Fund II,03-09-2024,54.6347,HDFC Life Insurance Company Limited,03-Sep-24,85
ULGF04511/02/12DefnsvFdII101,Defensive Managed Fund II,03-09-2024,41.5534,HDFC Life Insurance Company Limited,03-Sep-24,86
ULGF04411/02/12SecureMFII101,Secure Managed Fund II,03-09-2024,33.1808,HDFC Life Insurance Company Limited,03-Sep-24,87
ULGF04311/02/12LiquidFdII101,Liquid Fund II,03-09-2024,25.5598,HDFC Life Insurance Company Limited,03-Sep-24,88
ULGF04020/02/12BalncdMFII101,Balanced Managed Fund II,03-09-2024,40.5931,HDFC Life Insurance Company Limited,03-Sep-24,89
ULGF03920/02/12DefnsvFdII101,Defensive Managed Fund II,03-09-2024,38.4141,HDFC Life Insurance Company Limited,03-Sep-24,90
ULGF03820/02/12SecureMFII101,Secure Managed Fund II,03-09-2024,34.1781,HDFC Life Insurance Company Limited,03-Sep-24,91
ULGF03720/02/12StableMFII101,Stable Managed Fund II,03-09-2024,28.2530,HDFC Life Insurance Company Limited,03-Sep-24,92
ULGF03620/02/12LiquidFdII101,Liquid Fund II,03-09-2024,27.1734,HDFC Life Insurance Company Limited,03-Sep-24,93
ULGF03518/02/12StableMgFd101,Stable managed Fund,03-09-2024,79.3877,HDFC Life Insurance Company Limited,03-Sep-24,94
ULGF03318/02/12GrowthFund101,Growth Fund,03-09-2024,479.2071,HDFC Life Insurance Company Limited,03-Sep-24,95
ULGF03218/02/12BalancedMF101,Balanced Managed Fund,03-09-2024,199.7765,HDFC Life Insurance Company Limited,03-Sep-24,96
ULGF03118/02/12DefensiveF101,Defensive Managed Fund,03-09-2024,121.4326,HDFC Life Insurance Company Limited,03-Sep-24,97
ULGF03018/02/12SecureMgtF101,Secure Managed Fund,03-09-2024,86.4788,HDFC Life Insurance Company Limited,03-Sep-24,98
ULGF02918/02/12LiquidFund101,Liquid Fund,03-09-2024,76.2854,HDFC Life Insurance Company Limited,03-Sep-24,99
ULGF02825/02/12StableMgFd101,Stable Managed Fund,03-09-2024,79.5203,HDFC Life Insurance Company Limited,03-Sep-24,100
ULGF02525/02/12BalancedMF101,Balanced Managed Fund,03-09-2024,210.7727,HDFC Life Insurance Company Limited,03-Sep-24,101
ULGF02425/02/12DefensiveF101,Defensive Managed Fund,03-09-2024,135.4782,HDFC Life Insurance Company Limited,03-Sep-24,102
ULGF02325/02/12SecureMgtF101,Secure Managed Fund,03-09-2024,89.0505,HDFC Life Insurance Company Limited,03-Sep-24,103
ULGF02225/02/12LiquidFund101,Liquid Fund,03-09-2024,76.4144,HDFC Life Insurance Company Limited,03-Sep-24,104
ULGF01620/06/07SovereignF101,Sovereign Fund,03-09-2024,73.6808,HDFC Life Insurance Company Limited,03-Sep-24,105
ULGF01520/06/07SovereignF101,Sovereign Fund,03-09-2024,67.2019,HDFC Life Insurance Company Limited,03-Sep-24,106
ULGF01128/03/05BalancedMF101,Balanced Managed Fund,03-09-2024,190.4743,HDFC Life Insurance Company Limited,03-Sep-24,107
ULGF01028/03/05DefensiveF101,Defensive Managed Fund,03-09-2024,126.1511,HDFC Life Insurance Company Limited,03-Sep-24,108
ULGF00928/03/05SecureMgtF101,Secure Managed Fund,03-09-2024,182.1547,HDFC Life Insurance Company Limited,03-Sep-24,109
ULGF00620/06/07StableMgFd101,Stable Managed Fund,03-09-2024,76.9358,HDFC Life Insurance Company Limited,03-Sep-24,110
ULGF00524/08/04EBSECURE101,Group Secure Fund,03-09-2024,50.6426,HDFC Life Insurance Company Limited,03-Sep-24,111
ULGF00424/08/04EBLIQUID101,Group Liquid Fund,03-09-2024,10,HDFC Life Insurance Company Limited,03-Sep-24,112
ULGF00411/08/03BalancedMF101,Balanced Managed Fund,03-09-2024,265.6167,HDFC Life Insurance Company Limited,03-Sep-24,113
ULGF00324/08/04EBGROWTH101,Group Growth Fund,03-09-2024,81.8431,HDFC Life Insurance Company Limited,03-Sep-24,114
ULGF00311/08/03DefensiveF101,Defensive Managed Fund,03-09-2024,153.3954,HDFC Life Insurance Company Limited,03-Sep-24,115
ULGF00224/08/04EBDEBT101,Group Debt Fund,03-09-2024,43.5940,HDFC Life Insurance Company Limited,03-Sep-24,116
ULGF00211/08/03SecureMgtF101,Secure Managed Fund,03-09-2024,87.9957,HDFC Life Insurance Company Limited,03-Sep-24,117
ULGF00124/08/04EBBALANCE101,Group Balanced Fund,03-09-2024,54.6591,HDFC Life Insurance Company Limited,03-Sep-24,118
ULGF00111/08/03LiquidFund101,Liquid Fund,03-09-2024,77.0679,HDFC Life Insurance Company Limited,03-Sep-24,119
ULIF07528/05/24AlphaIdxFd101,Nifty Alpha 30 Fund,04-09-2024,10.0730,HDFC Life Insurance Company Limited,04-Sep-24,1
ULIF07317/01/24MidCpMoIdx101,HDFC Life Midcap Momentum Fund,04-09-2024,11.9716,HDFC Life Insurance Company Limited,04-Sep-24,2
ULIF07201/09/23FlexiCapPF101,Flexi Cap Pension Fund,04-09-2024,12.0475,HDFC Life Insurance Company Limited,04-Sep-24,3
ULIF07114/07/23FlexiCapFd101,Flexi Cap Fund,04-09-2024,15.4405,HDFC Life Insurance Company Limited,04-Sep-24,4
ULIF07019/07/21SustnblEqF101,Sustainable Equity Fund,04-09-2024,14.8665,HDFC Life Insurance Company Limited,04-Sep-24,5
ULIF06914/06/19SecAdvFund101,Secure Advantage Fund,04-09-2024,13.7007,HDFC Life Insurance Company Limited,04-Sep-24,6
ULIF06814/06/19BondPlusFd101,Bond Plus Fund,04-09-2024,13.6080,HDFC Life Insurance Company Limited,04-Sep-24,7
ULIF06723/03/18EqtyAdvtFd101,Equity Advantage Fund,04-09-2024,28.7291,HDFC Life Insurance Company Limited,04-Sep-24,8
ULIF06618/01/18DiscvryFnd101,Discovery Fund,04-09-2024,40.4301,HDFC Life Insurance Company Limited,04-Sep-24,9
ULIF06501/04/16UnclaimdPF101,Unclaimed Policyholders Fund,04-09-2024,15.9955,HDFC Life Insurance Company Limited,04-Sep-24,10
ULIF06401/04/15CapSecFund101,Capital Secure Fund,04-09-2024,14.7517,HDFC Life Insurance Company Limited,04-Sep-24,11
ULIF06301/04/15CapGrwthFd101,Capital Growth Fund,04-09-2024,31.1564,HDFC Life Insurance Company Limited,04-Sep-24,12
ULIF06201/04/14PenConsvFd101,Pension Conservative Fund,04-09-2024,10,HDFC Life Insurance Company Limited,04-Sep-24,13
ULIF06101/04/14PenIncFund101,Pension Income Fund,04-09-2024,16.1304,HDFC Life Insurance Company Limited,04-Sep-24,14
ULIF06001/04/14PenEqPlsFd101,Pension Equity Plus Fund,04-09-2024,30.3539,HDFC Life Insurance Company Limited,04-Sep-24,15
ULIF05801/08/13ConsertvFd101,Conservative Fund,04-09-2024,18.7462,HDFC Life Insurance Company Limited,04-Sep-24,16
ULIF05601/08/13Bond Funds101,Bond Fund,04-09-2024,19.8961,HDFC Life Insurance Company Limited,04-Sep-24,17
ULIF05501/08/13DivrEqtyFd101,Diversified Equity Fund,04-09-2024,42.1790,HDFC Life Insurance Company Limited,04-Sep-24,18
ULIF05301/08/13EquityPlus101,Equity Plus Fund,04-09-2024,33.7165,HDFC Life Insurance Company Limited,04-Sep-24,19
ULIF05201/10/13DiscontdPF101,Discontinued Policy Fund Pension,04-09-2024,18.9927,HDFC Life Insurance Company Limited,04-Sep-24,20
ULIF05110/03/11DiscontdPF101,Discontinued Policy Fund,04-09-2024,23.3378,HDFC Life Insurance Company Limited,04-Sep-24,21
ULIF04818/06/12PenSuPls12101,Pension Super Plus 2012,04-09-2024,29.3457,HDFC Life Insurance Company Limited,04-Sep-24,22
ULIF04001/09/10HighestNAV101,Highest NAV Guarantee Fund,04-09-2024,20.1701,HDFC Life Insurance Company Limited,04-Sep-24,23
ULIF03901/09/10BalancedFd101,Balanced Fund,04-09-2024,39.2788,HDFC Life Insurance Company Limited,04-Sep-24,24
ULIF03801/09/10ShortTrmFd101,Short Term Fund,04-09-2024,22.9614,HDFC Life Insurance Company Limited,04-Sep-24,25
ULIF03701/01/10VantageFnd101,Vantage Fund,04-09-2024,41.5867,HDFC Life Insurance Company Limited,04-Sep-24,26
ULIF03601/01/10OpprtntyFd101,Opportunities Fund,04-09-2024,78.6154,HDFC Life Insurance Company Limited,04-Sep-24,27
ULIF03501/01/10BlueChipFd101,Blue Chip Fund,04-09-2024,52.0948,HDFC Life Insurance Company Limited,04-Sep-24,28
ULIF03401/01/10IncomeFund101,Income Fund,04-09-2024,27.6072,HDFC Life Insurance Company Limited,04-Sep-24,29
ULIF03304/08/08ManagerFnd101,Manager’s Fund,04-09-2024,54.58,HDFC Life Insurance Company Limited,04-Sep-24,30
ULIF03204/08/08Large-CapF101,Large-cap Fund,04-09-2024,65.8235,HDFC Life Insurance Company Limited,04-Sep-24,31
ULIF03104/08/08Mid-capFnd101,Mid-cap Fund,04-09-2024,117.6981,HDFC Life Insurance Company Limited,04-Sep-24,32
ULIF03004/08/08BondOprtFd101,Bond Opportunities Fund,04-09-2024,27.3335,HDFC Life Insurance Company Limited,04-Sep-24,33
ULIF02904/08/08MoneyPlusF101,Money Plus Fund,04-09-2024,22.9714,HDFC Life Insurance Company Limited,04-Sep-24,34
ULIF02808/10/08GrwthFndII101,Growth Fund II,04-09-2024,91.8029,HDFC Life Insurance Company Limited,04-Sep-24,35
ULIF02708/10/08EquityMFII101,Equity Managed Fund II,04-09-2024,80.2351,HDFC Life Insurance Company Limited,04-Sep-24,36
ULIF02608/10/08BalncdMFII101,Balanced Managed Fund II,04-09-2024,56.9840,HDFC Life Insurance Company Limited,04-Sep-24,37
ULIF02508/10/08DefnsvFdII101,Defensive Managed Fund II,04-09-2024,43.0206,HDFC Life Insurance Company Limited,04-Sep-24,38
ULIF02408/10/08SecureMFII101,Secure Managed Fund II,04-09-2024,32.8213,HDFC Life Insurance Company Limited,04-Sep-24,39
ULIF02308/10/08StableMFII101,Stable Managed Fund II,04-09-2024,27.1284,HDFC Life Insurance Company Limited,04-Sep-24,40
ULIF02208/10/08LiquidFdII101,Liquid Fund II,04-09-2024,25.7098,HDFC Life Insurance Company Limited,04-Sep-24,41
ULIF02120/02/08GrwthFndII101,Growth Fund II,04-09-2024,48.6392,HDFC Life Insurance Company Limited,04-Sep-24,42
ULIF02020/02/08EquityMFII101,Equity Managed Fund II,04-09-2024,52.2279,HDFC Life Insurance Company Limited,04-Sep-24,43
ULIF01920/02/08BalncdMFII101,Balanced Managed Fund II,04-09-2024,40.6002,HDFC Life Insurance Company Limited,04-Sep-24,44
ULIF01901/06/20PNLARGECAP101,Large Cap - Pension Fund,04-09-2024,20.73,HDFC Life Insurance Company Limited,04-Sep-24,45
ULIF01820/02/08DefnsvFdII101,Defensive Managed Fund II,04-09-2024,38.8751,HDFC Life Insurance Company Limited,04-Sep-24,46
ULIF01801/10/18CAPNIFINDX101,Capped Nifty Index Fund,04-09-2024,23.6217,HDFC Life Insurance Company Limited,04-Sep-24,47
ULIF01720/02/08SecureMFII101,Secure Managed Fund II,04-09-2024,33.0821,HDFC Life Insurance Company Limited,04-Sep-24,48
ULIF01701/01/17MIDCAP101,Individual Midcap Fund,04-09-2024,32.0705,HDFC Life Insurance Company Limited,04-Sep-24,49
ULIF01620/02/08StableMFII101,Stable Managed Fund II,04-09-2024,28.3256,HDFC Life Insurance Company Limited,04-Sep-24,50
ULIF01527/12/10ACTASSET101,Active Asset Allocation Fund,04-09-2024,36.3783,HDFC Life Insurance Company Limited,04-Sep-24,51
ULIF01520/02/08LiquidFdII101,Liquid Fund II,04-09-2024,27.1643,HDFC Life Insurance Company Limited,04-Sep-24,52
ULIF01420/06/07StableMgFd101,Stable Managed Fund,04-09-2024,79.3145,HDFC Life Insurance Company Limited,04-Sep-24,53
ULIF01403/12/10GTDNAV101,Guaranteed NAV Fund,04-09-2024,24.8324,HDFC Life Insurance Company Limited,04-Sep-24,54
ULIF01316/12/09PNPRIMEEQU101,Individual Prime Equity Pension Fund,04-09-2024,46.3119,HDFC Life Insurance Company Limited,04-Sep-24,55
ULIF01316/01/06EquityMgFd101,Equity Managed Fund,04-09-2024,359.7307,HDFC Life Insurance Company Limited,04-Sep-24,56
ULIF01216/12/09PNPRESERVR101,Individual Preserver Pension Fund,04-09-2024,32.4567,HDFC Life Insurance Company Limited,04-Sep-24,57
ULIF01202/01/04GrowthFund101,Growth Fund,04-09-2024,425.2145,HDFC Life Insurance Company Limited,04-Sep-24,58
ULIF01116/12/09PRIMEEQU101,Individual Prime Equity Fund,04-09-2024,44.0439,HDFC Life Insurance Company Limited,04-Sep-24,59
ULIF01102/01/04BalancedMF101,Balanced Managed Fund,04-09-2024,205.0223,HDFC Life Insurance Company Limited,04-Sep-24,60
ULIF01016/12/09PRESERVER101,Individual Preserver Fund,04-09-2024,32.4576,HDFC Life Insurance Company Limited,04-Sep-24,61
ULIF01002/01/04DefensiveF101,Defensive Managed Fund,04-09-2024,124.1936,HDFC Life Insurance Company Limited,04-Sep-24,62
ULIF00905/02/08PENLIQUID101,Pension Liquid Fund,04-09-2024,28.6030,HDFC Life Insurance Company Limited,04-Sep-24,63
ULIF00902/01/04SecureMgtF101,Secure Managed Fund,04-09-2024,85.1156,HDFC Life Insurance Company Limited,04-Sep-24,64
ULIF00805/02/08PENEQUITY101,Pension Equity Fund,04-09-2024,49.4361,HDFC Life Insurance Company Limited,04-Sep-24,65
ULIF00802/01/04LiquidFund101,Liquid Fund,04-09-2024,75.9707,HDFC Life Insurance Company Limited,04-Sep-24,66
ULIF00720/06/07StableMgFd101,Stable Managed Fund,04-09-2024,79.5440,HDFC Life Insurance Company Limited,04-Sep-24,67
ULIF00705/02/08PENDEBT101,Pension Debt Fund,04-09-2024,37.3871,HDFC Life Insurance Company Limited,04-Sep-24,68
ULIF00616/01/06EquityMgFd101,Equity Managed Fund,04-09-2024,360.5266,HDFC Life Insurance Company Limited,04-Sep-24,69
ULIF00514/10/05EQUITY101,Individual Equity Fund,04-09-2024,70.4765,HDFC Life Insurance Company Limited,04-Sep-24,70
ULIF00502/01/04GrowthFund101,Growth Fund,04-09-2024,442.7023,HDFC Life Insurance Company Limited,04-Sep-24,71
ULIF00418/10/04SECURE101,Individual Secure Fund,04-09-2024,51.7107,HDFC Life Insurance Company Limited,04-Sep-24,72
ULIF00402/01/04BalancedMF101,Balanced Managed Fund,04-09-2024,207.2488,HDFC Life Insurance Company Limited,04-Sep-24,73
ULIF00318/10/04GROWTH101,Individual Growth Fund,04-09-2024,71.1663,HDFC Life Insurance Company Limited,04-Sep-24,74
ULIF00302/01/04DefensiveF101,Defensive Managed Fund,04-09-2024,137.4167,HDFC Life Insurance Company Limited,04-Sep-24,75
ULIF00218/10/04DEBT101,Individual Debt Fund,04-09-2024,44.6488,HDFC Life Insurance Company Limited,04-Sep-24,76
ULIF00202/01/04SecureMgtF101,Secure Managed Fund,04-09-2024,86.8333,HDFC Life Insurance Company Limited,04-Sep-24,77
ULIF00118/10/04BALANCE101,Individual Balanced Fund,04-09-2024,58.0316,HDFC Life Insurance Company Limited,04-Sep-24,78
ULIF00102/01/04LiquidFund101,Liquid Fund,04-09-2024,75.3316,HDFC Life Insurance Company Limited,04-Sep-24,79
ULGF05227/02/23CGHybdFund101,Capital Guarantee Debt Plus Fund Pension,04-09-2024,10,HDFC Life Insurance Company Limited,04-Sep-24,80
ULGF05127/02/23CGDebtFund101,Capital Guarantee Debt Fund Pension,04-09-2024,10,HDFC Life Insurance Company Limited,04-Sep-24,81
ULGF05027/02/23CGHybdFund101,Capital Guarantee Debt Plus Fund Life,04-09-2024,10.1230,HDFC Life Insurance Company Limited,04-Sep-24,82
ULGF04927/02/23CGDebtFund101,Capital Guarantee Debt Fund Life,04-09-2024,10.3869,HDFC Life Insurance Company Limited,04-Sep-24,83
ULGF04811/02/12StableMFII101,Stable Managed Fund II,04-09-2024,26.9942,HDFC Life Insurance Company Limited,04-Sep-24,84
ULGF04611/02/12BalncdMFII101,Balanced Managed Fund II,04-09-2024,54.5927,HDFC Life Insurance Company Limited,04-Sep-24,85
ULGF04511/02/12DefnsvFdII101,Defensive Managed Fund II,04-09-2024,41.5601,HDFC Life Insurance Company Limited,04-Sep-24,86
